Absolute Magnitude,Close Approach Date,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Epoch Osculation,Eccentricity,Perihelion Distance,Aphelion Dist,Perihelion Time,Mean Anomaly,Hazardous,Est Dia in M(avg)
24.4,29,16354.9951017875,63164000.0,1842,8,0.0247658,2450164.5,0.398751214499961,0.8748880313090469,2.035348304824027,2450100.3171166647,36.039263110496,0,56.6947202721
26.6,29,85319.5369474375,69715352.0,1242,7,0.0242782,2458000.5,0.3471995999621233,0.4960374796609523,1.023684259578703,2457910.788665057,133.4904732191777,0,20.5846087521
18.9,29,124987.452451079,56825760.0,2595,0,0.0797107,2458000.5,0.6872155315752198,0.5676411695978938,3.061958295213145,2458089.413694503,324.154910400744,0,713.74424065115
22.3,29,46728.8157191285,25918202.0,679,3,0.0259126,2458000.5,0.2597323195329087,0.8635369922219897,1.46950283919985,2457770.912607256,179.6031185576674,0,149.1223080412
19.5,30,27150.8661367606,71767928.0,2001,0,0.107051,2458000.5,0.2719420423503477,0.9044807271633496,1.580158627877101,2457965.665232044,24.79516196529261,0,541.4303752642
18.2,30,65353.7065536472,37159120.0,2617,0,0.00221412,2458000.5,0.1945443757838803,0.8612702636556564,1.277321206219189,2458150.9789086673,225.8678286950511,1,985.2413187458001
24.5,30,40632.5329684142,39248196.0,1787,6,0.025664,2458000.5,0.05733700568269794,0.9324572731363344,1.045889768717454,2457858.7599308495,141.9998843908474,0,54.14303752645
22.1,30,85399.9404643321,52415584.0,1189,1,0.095436,2458000.5,0.2448179992803084,0.6661535843704764,1.098066388392723,2457880.9847791456,142.1815302614337,0,163.50935932570002
25.3,30,41926.0009352609,44981772.0,120,6,0.0618104,2458000.5,0.1554140405300164,0.7713258206067752,1.055192396889565,2457869.5255082427,147.9107628630983,0,37.4578302204
18.3,31,41929.5842323715,70112592.0,2214,1,0.013395,2458000.5,0.4685677328906181,0.5258664207894388,1.453186991415969,2458083.8599596918,276.5319456445037,1,940.89815484425
